Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,SedentaryActiveDistance,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,TotalActiveMinutes,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance,TotalActiveDistance,TotalCalories
1624580081,4/5/2016,1335,0.87,0.87,0,0,1366,74,0,0,74,0.87,0,0,0.87,1308
1624580081,4/6/2016,1004,0.65,0.65,0,0,1385,55,0,0,55,0.65,0,0,0.65,1276
1624580081,4/7/2016,1111,0.72,0.72,0,0,1386,54,0,0,54,0.72,0,0,0.72,1278
1624580081,4/8/2016,6344,4.12,4.12,0,0,1297,143,0,0,143,4.1,0,0,4.1,1409
1624580081,4/9/2016,3572,2.32,2.32,0,0.03,1318,122,0,0,122,2.29,0,0,2.29,1370
1624580081,4/10/2016,3910,2.54,2.54,0,0.01,1240,186,7,7,200,1.81,0.25,0.47,2.53,1555
1624580081,4/11/2016,10000,6.5,6.5,0,0,1268,172,0,0,172,6.5,0,0,6.5,1469
1624580081,4/12/2016,6627,4.31,4.31,0,0,604,89,0,0,89,4.31,0,0,4.31,706
1644430081,4/1/2016,4636,3.41,3.41,0,0.03,838,586,16,0,602,2.6,0.78,0,3.38,3323
1644430081,4/2/2016,20237,14.71,14.71,0,0.01,918,347,141,34,522,5.73,6.4,2.57,14.7,4029
1644430081,4/3/2016,12912,9.41,9.41,0,0.03,1082,283,16,59,358,3.79,0.77,4.83,9.39,3436
1644430081,4/4/2016,2819,2.05,2.05,0,0.01,1345,87,4,4,95,1.56,0.17,0.31,2.04,2444
1644430081,4/5/2016,9921,7.21,7.21,0,0,1181,219,35,5,259,5.36,1.52,0.34,7.22,3098
1644430081,4/6/2016,8046,5.85,5.85,0,0,1244,137,41,18,196,2.45,2.12,1.29,5.86,2925
1644430081,4/7/2016,11166,8.12,8.12,0,0,1149,230,58,3,291,5.5,2.41,0.21,8.12,3202
1644430081,4/8/2016,7842,5.7,5.7,0,0,1229,161,43,7,211,2.81,2.41,0.48,5.7,2928
1644430081,4/9/2016,13840,10.06,10.06,0,0,1149,192,81,18,291,5.03,3.72,1.31,10.06,3290
1644430081,4/10/2016,1329,0.97,0.97,0,0,207,35,0,0,35,0.97,0,0,0.97,489
1844505072,4/1/2016,6847,4.53,4.53,0,0,1171,251,9,9,269,3.55,0.37,0.61,4.53,1969
1844505072,4/2/2016,5367,3.55,3.55,0,0,1177,263,0,0,263,3.55,0,0,3.55,1889
1844505072,4/3/2016,2841,1.88,1.88,0,0,1114,136,0,0,136,1.88,0,0,1.88,1636
1844505072,4/4/2016,0,0,0,0,0,669,0,0,0,0,0,0,0,0,1347
1844505072,4/5/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1347
1844505072,4/6/2016,7,0,0,0,0,1439,1,0,0,1,0,0,0,0,1349
1844505072,4/7/2016,6344,4.19,4.19,0,0,1150,290,0,0,290,4.19,0,0,4.19,1965
1844505072,4/8/2016,5316,3.51,3.51,0,0,1219,221,0,0,221,3.51,0,0,3.51,1824
1844505072,4/9/2016,4979,3.29,3.29,0,0,620,184,0,0,184,3.29,0,0,3.29,1807
1844505072,4/10/2016,6556,4.34,4.34,0,0,810,305,0,0,305,4.33,0,0,4.33,1971
1844505072,4/11/2016,5430,3.59,3.59,0,0,1189,251,0,0,251,3.59,0,0,3.59,1888
1844505072,4/12/2016,0,0,0,0,0,426,0,0,0,0,0,0,0,0,399
1927972279,4/1/2016,4317,2.99,2.99,0,0,854,192,11,0,203,2.62,0.37,0,2.99,2590
1927972279,4/2/2016,5662,3.92,3.92,0,0,858,267,0,0,267,3.92,0,0,3.92,2783
1927972279,4/3/2016,3198,2.21,2.21,0,0,1183,146,0,0,146,2.21,0,0,2.21,2449
1927972279,4/4/2016,2352,1.63,1.63,0,0,829,128,0,0,128,1.63,0,0,1.63,2380
1927972279,4/5/2016,2234,1.55,1.55,0,0,912,108,0,0,108,1.55,0,0,1.55,2344
1927972279,4/6/2016,1259,0.87,0.87,0,0,938,73,0,0,73,0.87,0,0,0.87,2202
1927972279,4/7/2016,768,0.53,0.53,0,0,1397,43,0,0,43,0.53,0,0,0.53,2130
1927972279,4/8/2016,519,0.36,0.36,0,0,1406,34,0,0,34,0.36,0,0,0.36,2088
1927972279,4/9/2016,2523,1.75,1.75,0,0,1250,134,9,0,143,1.38,0.37,0,1.75,2443
1927972279,4/10/2016,2105,1.46,1.46,0,0,805,139,0,0,139,1.46,0,0,1.46,2442
1927972279,4/11/2016,1209,0.84,0.84,0,0,842,73,0,0,73,0.84,0,0,0.84,2255
1927972279,4/12/2016,24,0.02,0.02,0,0,161,3,0,0,3,0.02,0,0,0.02,942
2022484408,4/1/2016,13603,9.6,9.6,0,0,1139,213,16,72,301,3.51,0.63,5.46,9.6,2645
2022484408,4/2/2016,5477,3.84,3.84,0,0,1203,237,0,0,237,3.84,0,0,3.84,2040
2022484408,4/3/2016,11144,7.82,7.82,0,0,1114,279,22,25,326,5.14,0.89,1.79,7.82,2395
2022484408,4/4/2016,15313,11,11,0,0,1126,233,19,62,314,4.69,1.29,5.02,11,2581
2022484408,4/5/2016,10805,7.59,7.59,0,0,1069,298,37,36,371,5.89,0.98,0.72,7.59,2735
2022484408,4/6/2016,15392,10.93,10.93,0,0,1093,258,42,47,347,5.75,1.75,3.43,10.93,2733
2022484408,4/7/2016,18247,13.83,13.83,0,0,1054,252,62,72,386,4.51,2.21,7.11,13.83,3021
2022484408,4/8/2016,13023,9.26,9.26,0,0,1092,296,12,40,348,5.47,0.56,3.23,9.26,2577
2022484408,4/9/2016,16267,12.59,12.59,0,0,1078,302,16,44,362,6.37,0.47,5.75,12.59,2811
2022484408,4/10/2016,10005,7.02,7.02,0,0,1077,339,23,1,363,5.9,1.05,0.08,7.03,2458
2022484408,4/11/2016,10106,7.09,7.09,0,0,1111,272,16,41,329,5.33,0.56,1.21,7.1,2568
2022484408,4/12/2016,6717,4.72,4.72,0,0,551,67,5,41,113,1.27,0.22,3.23,4.72,1140
2026352035,4/1/2016,2605,1.62,1.62,0,0,729,166,0,0,166,1.62,0,0,1.62,1407
2026352035,4/2/2016,1229,0.76,0.76,0,0,795,69,0,0,69,0.76,0,0,0.76,1237
2026352035,4/3/2016,2308,1.43,1.43,0,0,720,115,0,0,115,1.43,0,0,1.43,1330
2026352035,4/4/2016,6679,4.14,4.14,0,0,644,263,0,0,263,4.14,0,0,4.14,1583
2026352035,4/5/2016,5645,3.5,3.5,0,0,621,248,0,0,248,3.5,0,0,3.5,1538
2026352035,4/6/2016,3180,1.97,1.97,0,0,738,185,0,0,185,1.97,0,0,1.97,1421
2026352035,4/7/2016,2767,1.72,1.72,0,0,673,170,0,0,170,1.72,0,0,1.72,1392
2026352035,4/8/2016,3762,2.33,2.33,0,0,719,173,0,0,173,2.33,0,0,2.33,1425
2026352035,4/9/2016,3098,1.92,1.92,0,0,700,185,0,0,185,1.92,0,0,1.92,1413
2026352035,4/10/2016,5142,3.19,3.19,0,0,654,230,0,0,230,3.19,0,0,3.19,1515
2026352035,4/11/2016,3279,2.03,2.03,0,0,694,164,0,0,164,2.03,0,0,2.03,1405
2026352035,4/12/2016,1019,0.63,0.63,0,0,223,64,0,0,64,0.63,0,0,0.63,600
2320127002,4/1/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1324
2320127002,4/2/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1324
2320127002,4/3/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1324
2320127002,4/4/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1324
2320127002,4/5/2016,4931,3.32,3.32,0,0,1265,175,0,0,175,3.32,0,0,3.32,1708
2320127002,4/6/2016,6999,4.72,4.72,0,0,1120,320,0,0,320,4.72,0,0,4.72,1950
2320127002,4/7/2016,1846,1.24,1.24,0,0,1347,93,0,0,93,1.24,0,0,1.24,1508
2320127002,4/8/2016,3417,2.3,2.3,0,0,1287,153,0,0,153,2.3,0,0,2.3,1625
2320127002,4/9/2016,4863,3.28,3.28,0,0,1220,208,11,1,220,2.8,0.42,0.06,3.28,1772
2320127002,4/10/2016,2277,1.53,1.53,0,0,1337,103,0,0,103,1.53,0,0,1.53,1530
2320127002,4/11/2016,11230,7.67,7.67,0,0,1038,390,2,10,402,6.66,0.12,0.89,7.67,2206
2320127002,4/12/2016,2098,1.41,1.41,0,0,617,69,0,0,69,1.41,0,0,1.41,790
2347167796,3/29/2016,10272,6.79,6.79,0,0,700,208,58,2,268,3.5,3.12,0.16,6.78,2041
2347167796,3/30/2016,10533,7.1,7.1,0,0,615,255,35,21,311,3.27,2.06,1.77,7.1,2187
2347167796,3/31/2016,6760,4.47,4.47,0,0,613,250,0,0,250,4.47,0,0,4.47,1929
2347167796,4/1/2016,8328,5.51,5.51,0,0,804,212,33,0,245,3.5,2,0,5.5,1935
2347167796,4/2/2016,15459,10.22,10.22,0,0,583,327,16,51,394,5.82,0.81,3.59,10.22,2438
2347167796,4/3/2016,7485,4.95,4.95,0,0,491,324,0,0,324,4.95,0,0,4.95,2035
2347167796,4/4/2016,10254,6.8,6.8,0,0,638,231,25,21,277,4.16,1.23,1.42,6.81,2099
2347167796,4/5/2016,10114,6.82,6.82,0,0,696,269,9,18,296,4.68,0.48,1.64,6.8,2096
2347167796,4/6/2016,11107,7.34,7.34,0,0,759,196,46,14,256,3.68,2.76,0.9,7.34,2058
2347167796,4/7/2016,10320,6.85,6.85,0,0,1002,315,32,15,362,4.94,1.23,0.68,6.85,2338
2347167796,4/8/2016,10209,6.75,6.75,0,0,711,316,6,2,324,6.23,0.35,0.16,6.74,2104
2347167796,4/9/2016,16081,10.63,10.63,0,0,970,401,32,16,449,7.56,1.82,1.25,10.63,2488
2347167796,4/10/2016,10078,6.83,6.83,0,0,463,303,3,12,318,5.69,0.12,1.02,6.83,2164
2347167796,4/11/2016,10001,6.61,6.61,0,0,788,196,52,5,253,3.36,2.93,0.33,6.62,2009
2347167796,4/12/2016,0,0,0,0,0,425,0,0,0,0,0,0,0,0,399
2873212765,4/1/2016,890,0.6,0.6,0,0,1399,41,0,0,41,0.6,0,0,0.6,1335
2873212765,4/2/2016,2214,1.49,1.49,0,0,1243,197,0,0,197,1.49,0,0,1.49,1559
2873212765,4/3/2016,7640,5.13,5.13,0,0,1107,315,15,3,333,4.15,0.8,0.19,5.14,1845
2873212765,4/4/2016,9713,6.53,6.53,0,0,1055,355,24,6,385,5.29,0.89,0.34,6.52,2046
2873212765,4/5/2016,8432,5.67,5.67,0,0.01,1066,374,0,0,374,5.65,0,0,5.65,1953
2873212765,4/6/2016,7350,4.94,4.94,0,0,1058,382,0,0,382,4.94,0,0,4.94,1910
2873212765,4/7/2016,9353,6.31,6.31,0,0,1055,363,17,5,385,5.24,0.69,0.37,6.3,2035
2873212765,4/8/2016,7157,4.81,4.81,0,0,1060,380,0,0,380,4.81,0,0,4.81,1944
2873212765,4/9/2016,14103,9.56,9.56,0,0.01,1098,288,8,46,342,6.14,0.41,3.02,9.57,2257
2873212765,4/10/2016,5290,3.55,3.55,0,0,1180,251,8,1,260,3.17,0.34,0.04,3.55,1724
2873212765,4/11/2016,7497,5.04,5.04,0,0,882,357,0,0,357,5.04,0,0,5.04,1741
2873212765,4/12/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0
2891001357,3/29/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1920
2891001357,3/30/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1920
2891001357,3/31/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1920
2891001357,4/1/2016,0,0,0,4.83,0,780,0,660,0,660,0,0,0,0,4562
2891001357,4/2/2016,4126,3.22,0,3.22,0,720,720,0,0,720,3.22,0,0,3.22,2881
2891001357,4/3/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1920
2891001357,4/4/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1920
2891001357,4/5/2016,2063,1.61,0,1.61,0,99,630,0,0,630,1.61,0,0,1.61,1144
3372868164,4/1/2016,5785,3.95,3.95,0,0.04,1129,311,0,0,311,3.91,0,0,3.91,1852
3372868164,4/2/2016,7625,5.23,5.23,0,0.01,1074,341,1,24,366,3.5,0.04,1.68,5.22,2069
3372868164,4/3/2016,4706,3.21,3.21,0,0,1141,299,0,0,299,3.21,0,0,3.21,1816
3372868164,4/4/2016,5861,4.02,4.02,0,0.01,1180,233,7,20,260,2.49,0.22,1.3,4.01,1878
3372868164,4/5/2016,4460,3.04,3.04,0,0.03,1192,248,0,0,248,3.02,0,0,3.02,1787
3372868164,4/6/2016,6406,4.39,4.39,0,0.01,1094,325,4,17,346,3.52,0.09,0.78,4.39,2010
3372868164,4/7/2016,7392,5.1,5.1,0,0.02,1085,332,9,14,355,4.05,0.16,0.87,5.08,2038
3372868164,4/8/2016,5551,3.79,3.79,0,0.01,1158,282,0,0,282,3.77,0,0,3.77,1815
3372868164,4/9/2016,8827,6.25,6.25,0,0.01,1063,346,10,21,377,4,0.48,1.77,6.25,2062
3372868164,4/10/2016,4662,3.18,3.18,0,0,735,152,4,22,178,1.99,0.15,1.04,3.18,1276
3977333714,4/1/2016,4499,3.01,3.01,0,0,842,168,0,0,168,3.01,0,0,3.01,1288
3977333714,4/2/2016,7618,5.1,5.1,0,0,842,302,6,0,308,4.91,0.18,0,5.09,1490
3977333714,4/3/2016,11508,7.7,7.7,0,0,748,282,22,29,333,4.69,0.84,2.17,7.7,1630
3977333714,4/4/2016,11943,7.99,7.99,0,0,710,297,43,16,356,4.95,2.01,1.03,7.99,1648
3977333714,4/5/2016,12303,8.23,8.23,0,0,605,291,32,26,349,5.17,1.35,1.71,8.23,1649
3977333714,4/6/2016,15425,10.32,10.32,0,0,614,331,45,24,400,6.87,1.82,1.62,10.31,1783
3977333714,4/7/2016,8422,5.63,5.63,0,0,815,139,81,0,220,2.04,3.6,0,5.64,1431
3977333714,4/8/2016,10226,6.84,6.84,0,0,685,174,101,0,275,2.4,4.44,0,6.84,1524
3977333714,4/9/2016,14583,9.76,9.76,0,0,697,254,36,35,325,5.53,1.74,2.48,9.75,1697
3977333714,4/10/2016,3573,2.39,2.39,0,0,866,99,8,15,122,0.97,0.41,0.94,2.32,1232
3977333714,4/11/2016,3108,2.14,2.14,0,0,894,129,1,1,131,1.96,0.04,0.07,2.07,1223
3977333714,4/12/2016,759,0.57,0.57,0,0,187,17,0,0,17,0.57,0,0,0.57,182
4020332650,3/12/2016,5543,3.97,3.97,0,0.01,757,254,0,0,254,3.96,0,0,3.96,2990
4020332650,3/13/2016,3226,2.31,2.31,0,0,771,136,0,0,136,2.28,0,0,2.28,2480
4020332650,3/14/2016,3023,2.17,2.17,0,0,1005,145,0,0,145,2.14,0,0,2.14,2570
4020332650,3/15/2016,5906,4.23,4.23,0,0,874,215,10,0,225,4.04,0.16,0,4.2,3016
4020332650,3/16/2016,12483,8.99,8.99,0,0,599,309,14,25,348,6.9,0.57,1.45,8.92,3830
4020332650,3/17/2016,8940,6.41,6.41,0,0.04,986,47,0,0,47,0.61,0,0,0.61,3706
4020332650,3/18/2016,368,0.26,0.26,0,0,1440,0,0,0,0,0,0,0,0,2024
4020332650,3/19/2016,5702,4.09,4.09,0,0,1440,0,0,0,0,0,0,0,0,2980
4020332650,3/20/2016,10330,7.41,7.41,0,0,1440,0,0,0,0,0,0,0,0,3728
4020332650,3/21/2016,8778,6.29,6.29,0,0,1440,0,0,0,0,0,0,0,0,3348
4020332650,3/22/2016,6662,4.78,4.78,0,0,1440,0,0,0,0,0,0,0,0,3162
4020332650,3/23/2016,6309,4.52,4.52,0,0,1440,0,0,0,0,0,0,0,0,3140
4020332650,3/24/2016,1951,1.41,1.41,0,0,1440,0,0,0,0,0,0,0,0,1980
4020332650,3/25/2016,5563,3.99,3.99,0,0,1440,0,0,0,0,0,0,0,0,3681
4020332650,3/26/2016,4370,3.13,3.13,0,0,1440,0,0,0,0,0,0,0,0,3444
4020332650,3/27/2016,7144,5.12,5.12,0,0,1440,0,0,0,0,0,0,0,0,3510
4020332650,3/28/2016,2106,1.51,1.51,0,0,1289,75,45,31,151,0.21,0.05,0.02,0.28,4010
4020332650,3/29/2016,4152,2.98,2.98,0,0,1253,187,0,0,187,2.96,0,0,2.96,2976
4020332650,3/30/2016,5400,3.87,3.87,0,0,795,258,0,0,258,3.85,0,0,3.85,3418
4020332650,3/31/2016,7428,5.33,5.33,0,0,860,261,33,18,312,3.51,0.92,0.87,5.3,3439
4020332650,4/1/2016,5351,3.84,3.84,0,0,748,210,17,15,242,3.01,0.18,0.62,3.81,3338
4020332650,4/2/2016,4299,3.1,3.1,0,0.04,752,162,15,3,180,2.74,0.21,0.09,3.04,2892
4020332650,4/3/2016,6107,4.38,4.38,0,0,776,265,0,0,265,4.36,0,0,4.36,3313
4020332650,4/4/2016,6429,4.6,4.6,0,0,741,193,28,0,221,3.65,0.95,0,4.6,3118
4020332650,4/5/2016,6880,4.93,4.93,0,0,1249,165,19,7,191,3.65,0.76,0.5,4.91,2966
4020332650,4/6/2016,7476,5.36,5.36,0,0,920,263,0,0,263,5.31,0,0,5.31,3253
4020332650,4/7/2016,6581,4.72,4.72,0,0,1191,241,8,0,249,4.39,0.29,0,4.68,3032
4020332650,4/8/2016,10480,7.51,7.51,0,0.04,1125,272,37,6,315,5.01,1.47,0.41,6.89,4034
4020332650,4/9/2016,7734,5.55,5.55,0,0.06,1185,223,12,20,255,3.82,0.49,1.16,5.47,3264
4020332650,4/10/2016,5129,3.68,3.68,0,0.01,1178,176,7,5,188,3.21,0.24,0.18,3.63,2817
4020332650,4/11/2016,2993,2.15,2.15,0,0,888,114,0,0,114,2.09,0,0,2.09,2507
4020332650,4/12/2016,8,0.01,0.01,0,0,321,1,0,0,1,0.01,0,0,0.01,446
4057192912,3/12/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1777
4057192912,3/13/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1777
4057192912,3/14/2016,8433,6.23,6.23,0,0,1268,135,7,30,172,3.44,0.33,2.45,6.22,2453
4057192912,3/15/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,3/16/2016,2139,1.56,1.56,0,0,1397,15,28,0,43,0.26,1.3,0,1.56,1935
4057192912,3/17/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,3/18/2016,949,0.69,0.69,0,0,1406,34,0,0,34,0.69,0,0,0.69,1870
4057192912,3/19/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1777
4057192912,3/20/2016,44,0.03,0.03,0,0,1438,2,0,0,2,0.03,0,0,0.03,1782
4057192912,3/21/2016,2660,1.94,1.94,0,0,1394,46,0,0,46,1.94,0,0,1.94,1978
4057192912,3/22/2016,5561,4.19,4.19,0,0,1271,169,0,0,169,4.07,0,0,4.07,2296
4057192912,3/23/2016,7239,5.34,5.34,0,0,1236,190,7,7,204,4.38,0.36,0.55,5.29,2484
4057192912,3/24/2016,7,0.01,0.01,0,0,1439,1,0,0,1,0.01,0,0,0.01,1787
4057192912,3/25/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,3/26/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,3/27/2016,2275,1.68,1.68,0,0,1354,86,0,0,86,1.66,0,0,1.66,2005
4057192912,3/28/2016,8,0.01,0.01,0,0,1439,1,0,0,1,0.01,0,0,0.01,1778
4057192912,3/29/2016,5137,3.76,3.76,0,0,1280,160,0,0,160,3.76,0,0,3.76,2293
4057192912,3/30/2016,5419,4,4.57,0.06,0.06,1295,145,0,0,145,3.91,0,0,3.91,2259
4057192912,3/31/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,4/1/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,4/2/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,4/3/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,4/4/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,4/5/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1776
4057192912,4/6/2016,18,0.01,0.01,0,0,1438,2,0,0,2,0.01,0,0,0.01,1780
4057192912,4/7/2016,4,0,0,0,0,1439,1,0,0,1,0,0,0,0,1778
4057192912,4/8/2016,8426,6.16,6.16,0,0,1293,25,120,2,147,0.54,5.49,0.13,6.16,2360
4057192912,4/9/2016,1650,1.21,1.21,0,0,1380,60,0,0,60,1.21,0,0,1.21,1952
4057192912,4/10/2016,3434,2.51,2.51,0,0,1324,108,7,1,116,2.14,0.3,0.07,2.51,2101
4057192912,4/11/2016,6801,4.98,4.98,0,0,1247,193,0,0,193,4.97,0,0,4.97,2393
4057192912,4/12/2016,187,0.14,0.14,0,0,400,11,0,0,11,0.14,0,0,0.14,538
4319703577,3/29/2016,5643,3.79,3.79,0,0,683,199,8,3,210,3.23,0.33,0.23,3.79,1958
4319703577,3/30/2016,9043,6.07,6.07,0,0,702,244,12,4,260,5.37,0.43,0.25,6.05,2141
4319703577,3/31/2016,8144,5.46,5.46,0,0,1125,247,17,4,268,4.61,0.61,0.25,5.47,2129
4319703577,4/1/2016,9343,6.27,6.27,0,0,654,268,20,14,302,4.46,0.85,0.96,6.27,2216
4319703577,4/2/2016,8405,5.66,5.66,0,0,621,257,4,15,276,4.34,0.19,1.13,5.66,2154
4319703577,4/3/2016,8223,5.52,5.52,0,0,551,257,37,12,306,3.21,1.51,0.8,5.52,2178
4319703577,4/4/2016,10067,6.76,6.76,0,0,578,313,39,5,357,4.97,1.42,0.36,6.75,2308
4319703577,4/5/2016,8359,5.63,5.63,0,0,638,311,14,3,328,4.87,0.53,0.23,5.63,2201
4319703577,4/6/2016,10946,7.35,7.35,0,0,569,308,51,8,367,4.72,2.09,0.54,7.35,2341
4319703577,4/7/2016,9130,6.15,6.15,0,0,668,304,11,7,322,5.27,0.38,0.5,6.15,2236
4319703577,4/8/2016,6544,4.41,4.41,0,0,1132,276,6,4,286,3.86,0.26,0.29,4.41,2069
4319703577,4/9/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0
4388161847,3/29/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1878
4388161847,3/30/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1878
4388161847,3/31/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1878
4388161847,4/1/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1878
4388161847,4/2/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1878
4388161847,4/3/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1878
4388161847,4/4/2016,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1878
4388161847,4/5/2016,0,0,0,0,0,994,0,0,0,0,0,0,0,0,1296
4445114986,3/29/2016,2303,1.55,1.55,0,0,807,155,0,0,155,1.55,0,0,1.55,2010
4445114986,3/30/2016,2600,1.74,1.74,0,0,1277,163,0,0,163,1.74,0,0,1.74,2032
4445114986,3/31/2016,4804,3.22,3.22,0,0,786,238,0,0,238,3.22,0,0,3.22,2227
4445114986,4/1/2016,3271,2.19,2.19,0,0,898,205,0,0,205,2.19,0,0,2.19,2133
4445114986,4/2/2016,5406,3.63,3.63,0,0,672,273,0,0,273,3.61,0,0,3.61,2317
4445114986,4/3/2016,3146,2.11,2.11,0,0,1269,171,0,0,171,2.11,0,0,2.11,2058
4445114986,4/4/2016,2422,1.63,1.63,0,0,1330,110,0,0,110,1.63,0,0,1.63,1935
4445114986,4/5/2016,4239,2.84,2.84,0,0,702,235,6,1,242,2.53,0.24,0.06,2.83,2217
4445114986,4/6/2016,6911,4.78,4.78,0,0,745,215,2,28,245,2.36,0.1,2.32,4.78,2374
4445114986,4/7/2016,6667,4.61,4.61,0,0,939,208,1,24,233,2.55,0.05,2.02,4.62,2335
